w_expected,w_upside,w_economic,mean_utility,sd_utility,rank_mean
0.1,0.45,0.45,47.24783783783784,14.739151591582186,164
0.0,0.85,0.15,47.18702702702703,16.508580237908756,165
0.3,0.0,0.7,47.141621621621624,18.706578984338563,166
0.1,0.8,0.1,47.067567567567565,15.867730252413653,167
0.25,0.25,0.5,47.01756756756757,15.13043114708555,168
0.0,0.6,0.4,47.00108108108108,14.94326042509238,169
0.3,0.1,0.6,46.93783783783784,15.565477673209879,170
0.0,0.75,0.25,46.90945945945946,15.993573179031415,171
0.05,0.8,0.15,46.60081081081081,16.055140986677824,172
0.0,0.7,0.3,46.59594594594594,15.242650771849119,173
0.05,0.85,0.1,46.489999999999995,15.115367639885205,174
0.1,0.4,0.5,46.45594594594594,14.844065491984674,175
0.05,0.5,0.45,46.0181081081081,15.67233033048972,176
0.25,0.2,0.55,46.01621621621622,16.332817908763964,177
0.15,0.85,0.0,45.9972972972973,13.69887113123816,178
0.0,0.55,0.45,45.825405405405405,15.867707702996917,179
0.15,0.3,0.55,45.81648648648649,16.162347742037188,180
0.05,0.45,0.5,45.46405405405405,15.262939948970704,181
0.1,0.35,0.55,45.35297297297297,15.914159639359752,182
0.2,0.2,0.6,45.25405405405406,17.224426689291423,183
0.1,0.9,0.0,45.22162162162162,14.50543681856211,184
0.2,0.25,0.55,45.152702702702705,16.322961613194643,185
0.25,0.05,0.7,45.05135135135136,18.032067140107515,186
0.25,0.15,0.6,44.902432432432434,17.558207546678915,187
0.05,0.9,0.05,44.80486486486486,14.412558493978171,188
0.0,0.5,0.5,44.802972972972974,14.590964073103004,189
0.25,0.0,0.75,44.62783783783784,17.898336691053345,190
0.15,0.25,0.6,44.50027027027027,15.491784469067342,191
0.0,0.9,0.1,44.40054054054054,15.048095292159799,192
0.2,0.1,0.7,44.35702702702703,16.91767285429071,193
0.0,0.45,0.55,43.946216216216214,15.555291766853875,194
0.25,0.1,0.65,43.88918918918919,16.68376795610671,195
0.15,0.2,0.65,43.832432432432434,15.868214456265394,196
0.2,0.15,0.65,43.52324324324324,14.917219552892194,197
0.2,0.05,0.75,43.41891891891892,17.86780807669104,198
0.1,0.3,0.6,43.21351351351352,14.638782435749265,199
0.05,0.4,0.55,43.15432432432433,16.308044630478225,200
0.1,0.25,0.65,42.86108108108108,17.156133788723395,201
0.0,0.95,0.05,42.66702702702703,15.383361116779692,202
0.15,0.1,0.75,42.619729729729734,17.324066671426664,203
0.15,0.15,0.7,42.516216216216215,15.639459061288845,204
0.0,0.4,0.6,42.38648648648648,16.558268363606178,205
0.05,0.35,0.6,42.33783783783784,15.995503558315505,206
0.0,0.35,0.65,42.16594594594595,15.74646247035601,207
0.1,0.2,0.7,42.02945945945946,16.3265365017858,208
0.1,0.15,0.75,41.73243243243243,15.617142718714481,209
0.05,0.25,0.7,41.62135135135135,15.519141435688413,210
0.05,0.95,0.0,41.60216216216216,16.680810521064007,211
0.05,0.3,0.65,41.5172972972973,15.69377152614102,212
0.15,0.05,0.8,41.48891891891892,17.545179265697612,213
0.1,0.1,0.8,41.027837837837836,15.028449342485063,214
0.1,0.05,0.85,40.89972972972973,16.875988116994062,215
0.0,0.3,0.7,40.75945945945946,15.36697883738338,216
0.2,0.0,0.8,40.68459459459459,15.713715098352528,217
0.0,0.25,0.75,40.233513513513515,14.489366257174071,218
0.05,0.2,0.75,40.03864864864865,14.604470617314824,219
0.0,0.2,0.8,39.89,13.989730161800834,220
0.05,0.15,0.8,39.66675675675676,14.53337061425915,221
0.05,0.1,0.85,39.56135135135135,15.383458497533818,222
0.15,0.0,0.85,39.048918918918915,15.167909250157749,223
0.05,0.05,0.9,38.611621621621616,15.620494819576248,224
0.0,0.15,0.85,37.55135135135136,14.145023695467794,225
0.0,0.1,0.9,37.3072972972973,15.38216132202939,226
0.1,0.0,0.9,36.45756756756757,14.557057167001968,227
0.0,0.05,0.95,34.575945945945946,15.529487088092099,228
