temporada,rodada_target,lineup_strategy,captain_rule,captain_player_id,captain_realized_score,captain_bonus,final_team_utility_with_captain,oracle_realized_score,captain_regret_score,is_oracle
2025,38,FAME-DOC,Highest Market Value,96610,0.0,0.0,38.660000000000004,9.7,9.7,False
2025,38,FAME-DOC,Highest Historical Mean,106708,6.3,3.15,41.81,9.7,3.3999999999999995,False
2025,38,FAME-DOC,Highest Expected Performance,122486,0.0,0.0,38.660000000000004,9.7,9.7,False
2025,38,FAME-DOC,Highest Conditional Prediction,122486,0.0,0.0,38.660000000000004,9.7,9.7,False
2025,38,FAME-DOC,Highest FAME Representation,122486,0.0,0.0,38.660000000000004,9.7,9.7,False
2025,2,Availability-adjusted expected prediction,Highest Market Value,87258,1.2,0.6,48.379999999999995,10.6,9.4,False
2025,2,Availability-adjusted expected prediction,Highest Historical Mean,81952,3.7,1.85,49.629999999999995,10.6,6.8999999999999995,False
2025,2,Availability-adjusted expected prediction,Highest Expected Performance,104666,8.9,4.45,52.23,10.6,1.6999999999999993,False
2025,2,Availability-adjusted expected prediction,Highest Conditional Prediction,104666,8.9,4.45,52.23,10.6,1.6999999999999993,False
2025,3,Availability-adjusted expected prediction,Highest Market Value,94509,0.0,0.0,39.269999999999996,10.0,10.0,False
2025,3,Availability-adjusted expected prediction,Highest Historical Mean,91607,6.9,3.45,42.72,10.0,3.0999999999999996,False
2025,3,Availability-adjusted expected prediction,Highest Expected Performance,94509,0.0,0.0,39.269999999999996,10.0,10.0,False
2025,3,Availability-adjusted expected prediction,Highest Conditional Prediction,94509,0.0,0.0,39.269999999999996,10.0,10.0,False
2025,4,Availability-adjusted expected prediction,Highest Market Value,87999,1.9,0.95,62.49,13.0,11.1,False
2025,4,Availability-adjusted expected prediction,Highest Historical Mean,91607,1.9,0.95,62.49,13.0,11.1,False
2025,4,Availability-adjusted expected prediction,Highest Expected Performance,91607,1.9,0.95,62.49,13.0,11.1,False
2025,4,Availability-adjusted expected prediction,Highest Conditional Prediction,91607,1.9,0.95,62.49,13.0,11.1,False
2025,5,Availability-adjusted expected prediction,Highest Market Value,104528,2.3,1.15,38.93000000000001,11.4,9.100000000000001,False
2025,5,Availability-adjusted expected prediction,Highest Historical Mean,104528,2.3,1.15,38.93000000000001,11.4,9.100000000000001,False
2025,5,Availability-adjusted expected prediction,Highest Expected Performance,104528,2.3,1.15,38.93000000000001,11.4,9.100000000000001,False
2025,5,Availability-adjusted expected prediction,Highest Conditional Prediction,104528,2.3,1.15,38.93000000000001,11.4,9.100000000000001,False
2025,6,Availability-adjusted expected prediction,Highest Market Value,99815,3.9,1.95,78.03,12.2,8.299999999999999,False
2025,6,Availability-adjusted expected prediction,Highest Historical Mean,102975,9.8,4.9,80.98,12.2,2.3999999999999986,False
2025,6,Availability-adjusted expected prediction,Highest Expected Performance,99815,3.9,1.95,78.03,12.2,8.299999999999999,False
2025,6,Availability-adjusted expected prediction,Highest Conditional Prediction,102975,9.8,4.9,80.98,12.2,2.3999999999999986,False
2025,7,Availability-adjusted expected prediction,Highest Market Value,96610,9.2,4.6,52.35000000000001,14.5,5.300000000000001,False
2025,7,Availability-adjusted expected prediction,Highest Historical Mean,70360,1.7,0.85,48.60000000000001,14.5,12.8,False
2025,7,Availability-adjusted expected prediction,Highest Expected Performance,91607,-0.6,-0.3,47.45000000000001,14.5,15.1,False
2025,7,Availability-adjusted expected prediction,Highest Conditional Prediction,70360,1.7,0.85,48.60000000000001,14.5,12.8,False
2025,8,Availability-adjusted expected prediction,Highest Market Value,39148,8.3,4.15,68.28,25.6,17.3,False
2025,8,Availability-adjusted expected prediction,Highest Historical Mean,99815,2.2,1.1,65.22999999999999,25.6,23.400000000000002,False
2025,8,Availability-adjusted expected prediction,Highest Expected Performance,39148,8.3,4.15,68.28,25.6,17.3,False
