w_expected,w_upside,w_economic,l1_distance_to_original,mean_utility_2024,rank_2024,mean_utility_2025,rank_2025
0.6,0.15,0.25,0.3,55.71675675675676,30,57.1281081081081,11
0.6,0.2,0.2,0.19999999999999998,55.3754054054054,36,55.25702702702703,48
0.6,0.25,0.15,0.19999999999999996,54.4972972972973,54,54.37972972972973,63
0.6,0.3,0.1,0.19999999999999996,55.18378378378378,42,54.26243243243243,65
0.6,0.35,0.05,0.29999999999999993,55.65945945945946,32,53.287567567567564,80
0.6,0.4,0.0,0.4,54.93324324324324,45,50.968648648648646,113
0.65,0.0,0.35,0.4999999999999999,54.28675675675675,58,57.49081081081081,5
0.65,0.05,0.3,0.3999999999999999,53.586756756756756,66,58.23135135135135,3
0.65,0.1,0.25,0.29999999999999993,56.34432432432432,11,56.6727027027027,20
0.65,0.15,0.2,0.19999999999999996,56.82918918918919,6,56.391081081081076,23
0.65,0.2,0.15,0.09999999999999992,56.20648648648648,13,54.71918918918919,58
0.65,0.25,0.1,0.09999999999999992,55.332432432432434,37,53.67972972972973,78
0.65,0.3,0.05,0.1999999999999999,55.57189189189189,34,54.148918918918916,71
0.65,0.35,0.0,0.29999999999999993,55.032162162162166,43,52.34972972972973,95
0.7,0.0,0.3,0.4,54.512972972972975,52,58.89756756756757,1
0.7,0.05,0.25,0.30000000000000004,55.711351351351354,31,56.769459459459455,17
0.7,0.1,0.2,0.2,55.717837837837834,29,56.09972972972973,30
0.7,0.15,0.15,0.1,56.77513513513513,7,55.81378378378379,37
0.7,0.2,0.1,0.0,55.99243243243243,20,54.23405405405405,68
0.7,0.25,0.05,0.09999999999999999,55.601621621621625,33,52.8127027027027,86
0.7,0.3,0.0,0.19999999999999998,55.90243243243243,23,55.09486486486487,51
0.75,0.0,0.25,0.4,55.79783783783784,28,58.80135135135136,2
0.75,0.05,0.2,0.30000000000000004,55.86297297297297,24,56.744864864864866,19
0.75,0.1,0.15,0.20000000000000004,56.17486486486486,14,56.24135135135135,26
0.75,0.15,0.1,0.10000000000000006,57.792972972972976,1,54.74621621621621,57
