w_expected,w_upside,w_economic,n_rounds,mean_utility,median_utility,sd_utility,cumulative_utility,mean_cost,pct_budget_binding,rank_mean,within_1pct_best
0.2,0.3,0.5,37,44.81567567567568,44.44,18.076386613563095,1658.18,72.74648648648649,0.0,170,False
0.0,0.55,0.45,37,44.792162162162164,46.150000000000006,17.532185345043924,1657.31,71.83216216216216,0.0,171,False
0.1,0.4,0.5,37,44.685945945945946,43.8,18.149645460182693,1653.3799999999999,71.59324324324324,0.0,172,False
0.4,0.0,0.6,37,44.67864864864865,43.14,17.161300643884474,1653.11,66.06891891891892,0.0,173,False
0.05,0.4,0.55,37,44.637567567567565,46.84,17.241879152131208,1651.59,68.45378378378378,0.0,174,False
0.0,0.4,0.6,37,44.47756756756757,45.54,17.780833533362298,1645.67,65.68891891891892,0.0,175,False
0.35,0.05,0.6,37,44.44837837837838,40.269999999999996,17.700100205854692,1644.59,67.72027027027028,0.0,176,False
0.0,0.5,0.5,37,44.307567567567574,44.550000000000004,16.57337044200147,1639.38,69.34216216216215,0.0,177,False
0.3,0.15,0.55,37,44.20189189189189,41.65,18.249701494946557,1635.47,71.53891891891892,0.0,178,False
0.05,0.9,0.05,37,44.064594594594595,42.050000000000004,12.883746564005575,1630.39,97.61351351351351,0.0,179,False
0.2,0.25,0.55,37,43.83405405405405,42.17,17.851103056403275,1621.86,70.17675675675676,0.0,180,False
0.25,0.2,0.55,37,43.798648648648644,40.730000000000004,18.05298361954521,1620.55,70.66243243243244,0.0,181,False
0.15,0.85,0.0,37,43.65081081081081,40.34000000000001,13.620235431636752,1615.08,105.2554054054054,0.0,182,False
0.3,0.1,0.6,37,43.62108108108108,40.56,17.794792900013036,1613.98,68.70756756756757,0.0,183,False
0.05,0.35,0.6,37,43.16135135135135,39.55,17.317676287886087,1596.97,65.79513513513514,0.0,184,False
0.25,0.15,0.6,37,43.11891891891892,41.370000000000005,18.040022447599945,1595.4,68.51486486486488,0.0,185,False
0.1,0.3,0.6,37,43.04027027027027,41.56,16.42173161908845,1592.49,66.91216216216216,0.0,186,False
0.15,0.3,0.55,37,43.04,41.56,17.30866754612331,1592.48,69.81513513513514,0.0,187,False
0.05,0.3,0.65,37,42.95351351351351,39.55,16.390082573213498,1589.28,64.1981081081081,0.0,188,False
0.2,0.15,0.65,37,42.91189189189189,41.56999999999999,17.37396740941871,1587.74,65.75243243243244,0.0,189,False
0.1,0.35,0.55,37,42.89918918918919,41.56,17.075858588854224,1587.27,69.28027027027026,0.0,190,False
0.15,0.25,0.6,37,42.83162162162162,41.56,16.376511382925088,1584.77,67.57297297297296,0.0,191,False
0.0,0.9,0.1,37,42.814864864864866,43.01,13.89575067374148,1584.15,89.42297297297297,0.0,192,False
0.2,0.2,0.6,37,42.78243243243244,43.739999999999995,16.310409492339787,1582.95,68.14972972972973,0.0,193,False
0.1,0.9,0.0,37,42.56432432432432,40.4,15.331072032629347,1574.8799999999999,105.67351351351351,0.0,194,False
0.25,0.1,0.65,37,42.52243243243243,41.36,17.260377298149493,1573.33,65.37567567567568,0.0,195,False
0.15,0.2,0.65,37,42.04108108108108,43.8,15.807913943441216,1555.52,65.00621621621622,0.0,196,False
0.0,0.35,0.65,37,42.030270270270265,39.050000000000004,17.258153223989602,1555.12,63.87162162162162,0.0,197,False
0.15,0.15,0.7,37,41.53864864864865,39.93,15.830412566070795,1536.93,62.336216216216215,0.0,198,False
0.2,0.1,0.7,37,41.47918918918919,41.36,16.784502670019144,1534.73,62.52918918918919,0.0,199,False
0.35,0.0,0.65,37,41.421891891891896,37.980000000000004,15.929598034587803,1532.6100000000001,61.115405405405404,0.0,200,False
0.3,0.05,0.65,37,41.31027027027027,39.39,16.382430203402954,1528.48,64.13891891891892,0.0,201,False
0.1,0.25,0.65,37,41.282162162162166,38.08,16.563378301263025,1527.44,64.57486486486486,0.0,202,False
0.1,0.2,0.7,37,41.03945945945946,38.08,16.354437716810473,1518.46,62.390540540540535,0.0,203,False
0.05,0.25,0.7,37,40.52216216216216,38.08,15.460722121832747,1499.32,62.02945945945946,0.0,204,False
0.0,0.3,0.7,37,40.28675675675675,39.050000000000004,13.975253337805931,1490.61,62.25405405405406,0.0,205,False
0.1,0.15,0.75,37,40.10351351351351,39.93,15.945289659090934,1483.83,60.1954054054054,0.0,206,False
0.25,0.05,0.7,37,39.77918918918919,39.489999999999995,15.88889031479025,1471.83,60.9227027027027,0.0,207,False
0.05,0.2,0.75,37,39.473243243243246,39.84,14.824388136905807,1460.51,59.89972972972973,0.0,208,False
0.05,0.15,0.8,37,39.398918918918916,38.870000000000005,16.68795853032689,1457.76,57.590810810810815,0.0,209,False
0.15,0.1,0.75,37,38.95918918918919,41.089999999999996,15.951126288757163,1441.49,59.16351351351352,0.0,210,False
0.0,0.95,0.05,37,38.88513513513514,38.0,13.49483226638619,1438.75,94.01810810810811,0.0,211,False
