replication_id,margin,voll_multiplier,voll,model,theta,mean_loss,total_shortage_mw,total_emergency_mw,mean_decision_cost
E2017,1.0,1.0,10000.0,SARIMAX,-0.225,16061266.88141966,581294.2237859939,0.0,178911.04027228884
E2017,1.0,1.0,10000.0,SARIMAX,-0.2,14512609.165811146,524384.5506607112,0.0,185162.4264474493
E2017,1.0,1.0,10000.0,SARIMAX,-0.175,12985351.933803001,468189.6103309846,298.69421122795575,193286.07776516888
E2017,1.0,1.0,10000.0,SARIMAX,-0.15,11462038.402770381,411695.19914038817,3742.2014705458832,213535.69401660503
E2017,1.0,1.0,10000.0,SARIMAX,-0.125,9942946.38125696,354808.29864594236,11134.415732994694,248730.57125853587
E2017,1.0,1.0,10000.0,SARIMAX,-0.1,8448725.235354148,297598.0736736436,28162.745537731207,317630.3262382049
E2017,1.0,1.0,10000.0,SARIMAX,-0.075,7007698.405558028,241540.93148309182,51281.927431483484,408219.4032877604
E2017,1.0,1.0,10000.0,SARIMAX,-0.05,5696674.469085136,189286.0708498773,82042.90512930296,524923.8994163581
E2017,1.0,1.0,10000.0,SARIMAX,-0.025,4607313.210500786,144738.5873325972,115913.33865994189,652706.9992276381
E2017,1.0,1.0,10000.0,SARIMAX,0.0,3776816.2430544607,109478.83123497579,150856.46069448988,785591.3459239749
E2017,1.0,1.0,10000.0,SARIMAX,0.025,3243131.520333049,84477.86263443436,190317.3210054466,934993.1969878486
E2017,1.0,1.0,10000.0,SARIMAX,0.05,2886879.256599095,65108.3988652139,236389.1481128818,1107961.2548172951
E2017,1.0,1.0,10000.0,SARIMAX,0.075,2576973.69869186,46635.834947690004,288507.10560805874,1302770.558044592
E2017,1.0,1.0,10000.0,SARIMAX,0.1,2312527.036949025,28970.25364879409,347135.400758652,1520990.052009296
E2017,1.0,1.0,10000.0,SARIMAX,0.125,2133506.4697804614,13455.90173797351,413282.77781657386,1765858.8813112401
E2017,1.0,1.0,10000.0,SARIMAX,0.15,2123772.4891391555,3242.594336682574,486306.63106599805,2035177.0154593037
E2017,1.0,1.0,10000.0,SARIMAX,0.175,2345130.4438310587,639.4427467726146,565816.2606984986,2327659.3305312605
E2017,1.0,1.0,10000.0,SARIMAX,0.2,2647077.743280049,91.0280524937898,652393.9686015423,2644590.6380206556
E2017,1.0,1.0,10000.0,SARIMAX,0.225,2978036.90973055,0.0,743712.500479433,2978036.90973055
E2017,1.0,1.0,10000.0,SARIMAX,0.25,3320006.5999685414,0.0,837366.5103526289,3320006.5999685414
E2017,1.0,1.0,10000.0,SARIMAX,0.275,3670633.294130611,0.0,933391.3827733613,3670633.294130611
E2017,1.0,1.0,10000.0,SARIMAX,0.3,4030136.1453144774,0.0,1031847.1364127679,4030136.1453144774
E2017,1.0,1.0,10000.0,LSTM,-0.3,21153722.116017252,768334.2579468132,0.0,160982.82785295794
