position_id,position,model,candidate_id,params_json,folds,mean_RMSE,mean_MAE,mean_R2,mean_correlation
6,tecnico,RF,24,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 50, ""n_estimators"": 750}",5,2.41554687880993,1.9275215403098982,0.013602678779312094,0.22392653949227964
6,tecnico,RF,28,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 400}",5,2.415638727347712,1.929669847084027,0.015818657681830793,0.26500804246549603
6,tecnico,RF,59,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 1600}",5,2.416260192912867,1.9316204277022575,0.015329750075698811,0.2600178349563853
6,tecnico,RF,37,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50, ""n_estimators"": 350}",5,2.416428447289505,1.929129763658961,0.013046025857200116,0.22310671403027302
6,tecnico,RF,43,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 50, ""n_estimators"": 1750}",5,2.416482034612795,1.9208521685312974,0.012911864375419557,0.22434636640428818
6,tecnico,RF,13,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50, ""n_estimators"": 550}",5,2.4166289126297307,1.9291251971537449,0.012878660220804061,0.22339433855618807
6,tecnico,RF,15,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 50, ""n_estimators"": 1150}",5,2.4175328446752338,1.919769305131356,0.012166732238928168,0.22441060911077132
6,tecnico,RF,26,"{""max_depth"": 2, ""max_features"": 0.3, ""min_samples_leaf"": 50, ""n_estimators"": 1350}",5,2.4269021111181535,1.93447983409231,0.00500032066158429,0.23077951503441563
6,tecnico,RF,8,"{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 850}",5,2.4291225326034205,1.9335305750121514,0.005520622430678324,0.28327448243306846
6,tecnico,RF,1,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50, ""n_estimators"": 950}",5,2.450747195237807,1.9556698430705886,-0.01355338420843315,0.20683233850616145
6,tecnico,RF,39,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50, ""n_estimators"": 1350}",5,2.450790504234571,1.9558493148953993,-0.013603326239125368,0.20806455183800301
6,tecnico,RF,48,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 75, ""n_estimators"": 1050}",5,2.4683968472098288,1.9708934001130136,-0.026658836554833476,0.14586342487831352
6,tecnico,RF,57,"{""max_depth"": 8, ""max_features"": 0.3, ""min_samples_leaf"": 75, ""n_estimators"": 850}",5,2.4697040875493306,1.9725507681173133,-0.02742219481934107,0.14018684459038006
6,tecnico,RF,55,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 75, ""n_estimators"": 1250}",5,2.4699113022456953,1.9730942990091918,-0.02774153690676482,0.13983715679689415
6,tecnico,RF,6,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 75, ""n_estimators"": 1650}",5,2.470164172113399,1.9733149223975732,-0.027933304273622284,0.13888685663388783
6,tecnico,RF,12,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 75, ""n_estimators"": 450}",5,2.470280026766427,1.9733167257065247,-0.028178286703177634,0.1405122233611958
6,tecnico,RF,29,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 75, ""n_estimators"": 650}",5,2.4702827819632143,1.9729937286200223,-0.02786546707509512,0.13900355781488077
6,tecnico,RF,19,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 75, ""n_estimators"": 1450}",5,2.471326400144757,1.9741785535636578,-0.029107866649229663,0.13711840829603253
6,tecnico,RF,34,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 75, ""n_estimators"": 1050}",5,2.4795995859425313,1.9739765408906902,-0.03560018932774016,0.15107979949221095
6,tecnico,RF,62,"{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 75, ""n_estimators"": 1500}",5,2.483079843202721,1.9746272335311013,-0.03846185525105326,0.15258980709211886
6,tecnico,XGB,35,"{""colsample_bytree"": 0.5081904069520533, ""learning_rate"": 0.0014889294596340775, ""max_depth"": 2, ""n_estimators"": 1550, ""reg_alpha"": 0.004037281769150291, ""reg_lambda"": 0.025470630483935896, ""subsample"": 0.6068074083887041}",5,2.33806924317704,1.845822908205513,0.07844137716771231,0.3529667569587739
